13-يىڭى يىل:21-قالتىس:4.285311738993688
1456-تېخىمۇ ۋايىغا:23-ئېسىل:7.678007276056066
1457-ۋايىغا يەتكۈزۈپ:10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,16-ساغلام,23-ئېسىل:25.163021820508078
1458-ئېسىل دۇردانىلەرنى:23-ئېسىل:7.678007276056066
1459-دۇردانىلەرنى يېزىپ:23-ئېسىل:7.678007276056066
1461-راستىنى ئېيتقاندا:14-مۇكەممەل:6.0746327382210294
1477-ھەقىقەتەن مەست:3-گۈزەل:6.943160955191833
1478-مەست قىلىدۇدە:3-گۈزەل:6.943160955191833
1479-گۈزەل كۈن:3-گۈزەل:6.943160955191833
1480-يۇرتىمىزغا بەرىكەتلەر:3-گۈزەل:6.943160955191833
1481-بەرىكەتلەر بەرسۇن:3-گۈزەل:6.943160955191833
1489-خېلى جىق:30-ئاسان:3.2134109441846896
1494-بەك يارىدى:17-چىرايلىق:5.07812172430091
1504-كۆپ بولغىنىدىن:24-كۈچلۈك:6.7292007064280535
1514-تېخىمۇ كۆپ:10-ئاكتىپ,16-ساغلام,21-قالتىس,24-كۈچلۈك,30-ئاسان:9.98926512552299
1525-مائارىپمۇ يېشىل:37-يېشىل:10.013232193556886
1526-يېشىل لىشىشى:37-يېشىل:10.013232193556886
1527-لىشىشى كېرەك:14-مۇكەممەل,37-يېشىل:11.058117588383865
1546-پاساھەتلىك گەپ:23-ئېسىل:5.678007276056066
1564-تىۋال ياخشى:3-گۈزەل:6.943160955191833
1565-بۇرۇنقىلاردىنڭىدىن يۇقىرى:3-گۈزەل:6.943160955191833
1566-نۇسقىسى بولغان:3-گۈزەل:5.943160955191833
1567-ئىش بولاتتىدە:3-گۈزەل,21-قالتىس:12.98336019634899
1569-ئەجەپ پەيزى:14-مۇكەممەل,21-قالتىس:12.085084635984133
1570-ئەمدى ئاستا:14-مۇكەممەل:5.489670237499874
1571-ئاستا ئاستا:11-داڭلىق,14-مۇكەممەل:7.960837888773318
1572-ئاستا مۇكەممەل:14-مۇكەممەل:8.659595238942186
1573-مۇكەممەل قىلۋالسا:14-مۇكەممەل:8.659595238942186
1582-سىنا مىكرو:11-داڭلىق,12-ھەقىقى,17-چىرايلىق,30-ئاسان,33-ئىلغار:11.74184402084212
1583-مىكرو بلوگىنى:11-داڭلىق,33-ئىلغار:9.382266318259717
1589-ئەڭ مۇنەۋۋەر:2-مۇنەۋۋەر,17-چىرايلىق,24-كۈچلۈك:18.3856175675693
1590-مۇنەۋۋەر ئۇستازىم:2-مۇنەۋۋەر,17-چىرايلىق:18.656416861141246
1591-ئۇستازىم بولغان:2-مۇنەۋۋەر,17-چىرايلىق:18.656416861141246
1592-چوڭ ئاپامنى:2-مۇنەۋۋەر,17-چىرايلىق:15.012560671366522
1593-ئەجەپمۇ كۆرگۈم:2-مۇنەۋۋەر,17-چىرايلىق:18.656416861141246
1594-كۈنى كېلىپ:2-مۇنەۋۋەر,17-چىرايلىق:16.656416861141246
1595-چوڭ ئاپامنىڭ:2-مۇنەۋۋەر,17-چىرايلىق:15.012560671366522
1596-ئاپامنىڭ ئامان:2-مۇنەۋۋەر,17-چىرايلىق:18.656416861141246
1597-ئامان بولۇشىنى:2-مۇنەۋۋەر,17-چىرايلىق:18.656416861141246
1601-چىرايلىق تۇرۇشىنى:2-مۇنەۋۋەر,17-چىرايلىق:17.656416861141246
1606-خەتەرلىك ئوغلان:21-قالتىس:9.040199241157156
1607-كوماندىسى ئىشلىگەن:21-قالتىس:9.040199241157156
1608-مىكرو فىلىم:21-قالتىس:5.339759523016064
1609-قالتىس ئىشلەپ:21-قالتىس:9.040199241157156
1611-بوش ئەمەس:21-قالتىس:5.455236740436
1614-كۆز تەگمىسۇن:16-ساغلام,17-چىرايلىق:6.2842972026763215
1618-تەرجىمە قىلىپ:11-داڭلىق,16-ساغلام,23-ئېسىل,30-ئاسان:2.0228359724428664
1619-باشلىنىش بولۇپتۇ:14-مۇكەممەل,16-ساغلام:11.74691590008956
1629-باشقىلارغا چىن:30-ئاسان:7.60572836696345
1630-چىن كۆڭلىدىن:30-ئاسان:6.020765866242294
1631-كۆڭلىدىن كەڭ:30-ئاسان:7.60572836696345
1632-كەڭ قۇرساقلىق:30-ئاسان:4.798373444905846
1633-مۇئامىلە قىلىش:30-ئاسان,33-ئىلغار:7.3157083224053725
1634-ھەقىقەتەن ئاسان:30-ئاسان:7.60572836696345
1635-ئاسان ئەمەس:12-ھەقىقى,30-ئاسان:10.54224391714017
1636-قول قويدۇم:30-ئاسان:3.905288648822358
1637-بىرلەشمە خەۋەرلىشىشنىڭ:16-ساغلام:4.1784685492055695
1641-ئېلان قىلىندى:3-گۈزەل,10-ئاكتىپ,11-داڭلىق,12-ھەقىقى,14-مۇكەممەل,16-ساغلام,17-چىرايلىق,23-ئېسىل,24-كۈچلۈك,30-ئاسان,32-ئەرزان,33-ئىلغار,37-يېشىل:8.810260992931159
1652-مەسىلە بار:6-بىخەتەر,23-ئېسىل:5.028274456890523
1656-ھېس قىلغان:3-گۈزەل,12-ھەقىقى,14-مۇكەممەل:6.311103595769753
1657-يېڭى يېڭى:18-خوشال:5.503677095493753
1658-يېڭى نەرسىلەرنى:33-ئىلغار:5.81101765415807
1660-ياخشى كۆرىمەن:3-گۈزەل:0.965881031691916
1661-چىرايلىق قىلۋالدىم:17-چىرايلىق:8.078121724300908
1662-زىيارەت قىلىپ:14-مۇكەممەل,16-ساغلام,17-چىرايلىق:11.058925684564748
1663-زىيارەتتىن قايتىشىم:17-چىرايلىق:8.078121724300908
1664-راستىنلا چىرايلىق:17-چىرايلىق:8.078121724300908
1665-نېمىدىگەن گۈزەل:3-گۈزەل:6.943160955191833
1666-ئىچىم كۆيدى:3-گۈزەل:5.943160955191833
1671-ئەھمىيىتى بار:16-ساغلام:4.894675583204979
1676-ئېسىل تور:16-ساغلام,23-ئېسىل:13.058109686431287
1677-بەت باركەن:23-ئېسىل:6.678007276056066
1678-دېققەت قىلماپتىكەنمەن:23-ئېسىل:6.678007276056066
1685-ئۈمۈد قىلىمىز:10-ئاكتىپ,33-ئىلغار:10.373038735882627
1689-ياخشى ئىشتىن:26-مۇقۇم,33-ئىلغار:16.56232906219187
1691-بەك خۇش:17-چىرايلىق,20-راھەت,29-كۆڭۈلدىكىدەك:15.725690504855159
1695-كۆپ ئىكەن:17-چىرايلىق:3.756193629413547
1696-ئىنگىلىزچە بىلىدىغانلار:27-سادىق:9.578295136840337
1697-زىيارەت قىلسا:20-راھەت:7.033410075494517
1699-سۆزلەر ئىكەن:3-گۈزەل:3.7732359537495204
1703-ئەڭ يېڭى:3-گۈزەل,6-بىخەتەر,11-داڭلىق,14-مۇكەممەل,16-ساغلام,21-قالتىس,23-ئېسىل,33-ئىلغار:13.214718010894309
1704-يېڭى ناخشىسى:23-ئېسىل:2.430079762612481
1714-ئەپنى كۆرگەن:14-مۇكەممەل:8.659595238942186
1715-بەك مۇكەممەل:14-مۇكەممەل:8.659595238942186
1716-مۇكەممەل چىقىپتۇ:14-مۇكەممەل:8.659595238942186
1717-ئەپ بولا:14-مۇكەممەل:8.659595238942186
1725-گۈزەل سۆز:3-گۈزەل,24-كۈچلۈك:11.212930042982588
1726-ھەقىقىي ساپ:3-گۈزەل,12-ھەقىقى:13.225451342210285
1727-ساپ تەبىئي:3-گۈزەل,12-ھەقىقى:14.225451342210285
1728-تەبىئي گۈزەللىك:3-گۈزەل,12-ھەقىقى:14.225451342210285
1730-ئاق بۈركۈتتىكى:17-چىرايلىق:6.07812172430091
1746-چىن دىلىمىزدىن:30-ئاسان:4.020765866242294
1751-زور ئۇتۇق:12-ھەقىقى,18-خوشال,24-كۈچلۈك,29-كۆڭۈلدىكىدەك:23.70312355244228
1753-بۈگۈندىن باشلاپ:11-داڭلىق,23-ئېسىل,32-ئەرزان:8.315185493741149
1762-ئەمەلگە ئېشىش:12-ھەقىقى,24-كۈچلۈك,33-ئىلغار:13.874976167498708
1765-بايلىقنى بەرگەن:3-گۈزەل:6.943160955191833
1766-گۈزەل زۇۋاننى:3-گۈزەل:6.943160955191833
1767-زۇۋاننى بەرگەن:3-گۈزەل:6.943160955191833
1768-رەھمەت ئىگىسىگە:3-گۈزەل:6.943160955191833
1770-تەسەننا شۈكرىلەر:3-گۈزەل:6.943160955191833
1771-شۈكرىلەر بولسۇنكى:3-گۈزەل:5.943160955191833
1772-ئىبادەتلەرگە لايىق:3-گۈزەل:6.943160955191833
1773-لايىق تەربىيەلىلىگەن:3-گۈزەل:6.943160955191833
1774-پەدەرلىرىمگە تەشەككۈر:3-گۈزەل:6.943160955191833
1775-تىگىگە يەتكەندەك:3-گۈزەل:5.943160955191833
1776-ئادەم بولۇشى:12-ھەقىقى,23-ئېسىل,33-ئىلغار:13.477351084866914
1797-نەقەدەر بەخىتلىك:3-گۈزەل,15-بەخىتلىك:15.323263365567053
1801-يانفۇن سېتىۋالدىم:18-خوشال:9.41056769110227
1802-خوشال بولىۋاتىمەن:18-خوشال:9.41056769110227
1811-يېڭى يىل:23-ئېسىل,24-كۈچلۈك:2.3600840703700934
1822-مىكروبىلوگدا يازغان:12-ھەقىقى:7.282290387018451
1823-ئىنكاسلار ماس:12-ھەقىقى:7.282290387018451
1824-ماس قەدەمدە:12-ھەقىقى:4.112365385576139
1825-قەدەمدە ئەسلى:12-ھەقىقى:6.282290387018451
1826-ئەسلى مەنبەدىكى:12-ھەقىقى:5.697327886297295
1827-ۋىدىئولار بار:12-ھەقىقى:7.282290387018451
1828-بار بەتتىمۇ:12-ھەقىقى:7.282290387018451
1829-ئەمەلگە ئاشسا:12-ھەقىقى,18-خوشال:13.52293307667841
1839-ئېسىل كەنغۇ:23-ئېسىل:7.678007276056066
1840-شىركىتىگە بارغاندەك:23-ئېسىل:7.678007276056066
1841-ھەجەپ گۈزەلكەنغۇ:3-گۈزەل:6.943160955191833
1843-مۆكۈلەڭ ئوينىغان:3-گۈزەل:6.943160955191833
1844-ئېسىمگە كىلىپ:3-گۈزەل:5.943160955191833
1845-يۈزى چىرايلىق:17-چىرايلىق:8.078121724300908
1847-بوشلۇقتىن ياخشى:23-ئېسىل:7.678007276056066
1848-ياخشى پايدىلىنىش:23-ئېسىل:5.678007276056066
1850-ئىش بولۇپتۇ:23-ئېسىل:5.218575657418769
1857-ھېساپقا ئالمىغاندا:12-ھەقىقى,30-ئاسان:8.8880187539819
1862-ھەقىقىي نەشىرىنى:12-ھەقىقى,20-راھەت:14.900662963234122
1863-نەشىرىنى ئىشلىتىۋاتىمەن:12-ھەقىقى,20-راھەت:16.900662963234126
1864-بەك راھەتكەن:12-ھەقىقى,20-راھەت:16.315700462512968
1865-ئۈرۈمچىگە قايتىمەن:18-خوشال:7.088639596214909
1870-ياخشى بوپتۇ:3-گۈزەل,14-مۇكەممەل:6.725011944185017
1874-تىلىمىزدەك چىرايلىق:17-چىرايلىق:8.078121724300908
1875-چىرايلىق پاساھەتلىك:17-چىرايلىق:8.078121724300908
1876-پاساھەتلىك تىلدىن:17-چىرايلىق:8.078121724300908
1877-تىلىمىزنى قوغدايلى:17-چىرايلىق:7.07812172430091
1878-تىل يۇقالسا:17-چىرايلىق:8.078121724300908
1879-مىللەت يۇقۇلىدۇ:17-چىرايلىق:8.078121724300908
1900-مەڭزىگە سۆيۈپ:3-گۈزەل:6.943160955191833
1902-گۈزەل ھارارەتلىك:3-گۈزەل:6.943160955191833
1903-قۇياشتىنمۇ ھارارەتلىك:3-گۈزەل:6.943160955191833
1904-ھارارەتلىك ئانام:3-گۈزەل:6.943160955191833
1905-ئانام بار:3-گۈزەل:6.943160955191833
1907-كۆپ خىل:2-مۇنەۋۋەر,4-ئىتىپاقلىق,11-داڭلىق,16-ساغلام,22-ئىناق,24-كۈچلۈك,30-ئاسان:28.560700669362188
1912-خۇش خەۋەر:10-ئاكتىپ:4.047447908894799
1913-ئاللاھ نىسىپ:14-مۇكەممەل,23-ئېسىل:8.936723078716069
1920-موبارەك بولسۇن:18-خوشال,23-ئېسىل,25-خوشاللىق:19.872988470219344
1923-ياخشى بولغان:10-ئاكتىپ,12-ھەقىقى,14-مۇكەممەل,17-چىرايلىق,26-مۇقۇم,30-ئاسان:21.10602724441548
1924-مىكرو خەت:16-ساغلام,17-چىرايلىق:7.9955173840059715
1936-بوسۇغىسىدا دېگەن:10-ئاكتىپ:8.539301005224475
1937-كىتابنى ئوقۇساملا:10-ئاكتىپ:9.539301005224475
1938-باشقىچىلا جانلىنىپ:10-ئاكتىپ:7.954338504503318
1939-جانلىنىپ ئاكتىپلىشىپ:10-ئاكتىپ:9.539301005224475
1940-ئاكتىپلىشىپ كېتىمەن:10-ئاكتىپ:9.539301005224475
1948-تەرجىمە قىلىنىپ:24-كۈچلۈك,30-ئاسان:4.105509385161086
1950-ھازىرقى زامان:11-داڭلىق,14-مۇكەممەل,17-چىرايلىق,18-خوشال,23-ئېسىل,24-كۈچلۈك,25-خوشاللىق:12.490773796933183
1951-تەرجىمە قىلغان:24-كۈچلۈك,30-ئاسان:3.2541115457831755
1963-بۈگۈن چوڭ:17-چىرايلىق:5.756193629413547
1964-ئاپامنىڭ توغۇلغان:17-چىرايلىق:8.078121724300908
1965-ئارىلىق يىراق:17-چىرايلىق:8.078121724300908
1966-يىراق بولغاچقا:17-چىرايلىق:6.493159223579753
1967-ئۇچۇر يوللاش:12-ھەقىقى,17-چىرايلىق:9.745702267204152
1968-تېنىنىڭ سالامەت:17-چىرايلىق:6.493159223579753
1969-سالامەت بولۇشىنى:17-چىرايلىق:5.756193629413547
2020-پەيزى ئىشتىن:30-ئاسان:6.60572836696345
2021-تېخىمۇ ئۈنۈملۈك:30-ئاسان:5.283800272076087
2022-ئۈنۈملۈك بولغۇسى:30-ئاسان:6.60572836696345
2023-بۈگۈن كېلىپ:30-ئاسان:7.190690867684606
2024-جىق ئىشلارنى:30-ئاسان:6.283800272076087
2025-ئىشلارنى تۈگىتىۋالدىم:30-ئاسان:6.60572836696345
2027-خېلى ئارام:20-راھەت:7.033410075494517
2041-ئۈمۈت قىلىمەن:14-مۇكەممەل,18-خوشال:8.56038792571752
2047-بۈگۈن ئېسىل:23-ئېسىل:7.678007276056066
2048-ئىش بولدى:23-ئېسىل:4.262969776777222
2051-گۈدۈك چالالغىنىمدىن:18-خوشال:9.41056769110227
2052-بەكمۇ خوشال:18-خوشال,25-خوشاللىق:17.627940601439384
2054-شەرەپلىك نامغا:18-خوشال,25-خوشاللىق:18.77994369488443
2055-نامغا ئېرىشىشتىنمۇ:18-خوشال,25-خوشاللىق:19.949868696326746
2056-ئارتۇق بەخىت:18-خوشال,25-خوشاللىق:18.77994369488443
2057-خوشاللىق بولمىسا:18-خوشال,25-خوشاللىق:19.949868696326746
2059-ئۈممەتنىڭ شەرەپلىك:18-خوشال,25-خوشاللىق:19.949868696326746
2060-شەرەپلىك ئانىلىرى:18-خوشال,25-خوشاللىق:19.949868696326746
2064-قۇتلۇق بولسۇن:11-داڭلىق:4.856821343771194
2072-ياخشى ئىشلەپ:12-ھەقىقى,17-چىرايلىق:6.686808578150583
2073-ھەقىقي گۈزەلدۇر:3-گۈزەل:6.943160955191833
2082-بۈگۈنكى ھەزرىتى:18-خوشال:9.41056769110227
2083-ئېلان قىلىۋىدى:18-خوشال:9.41056769110227
2084-خوشال بولۇپ:18-خوشال,25-خوشاللىق:17.949868696326746
2092-ناخشىنى ياقتۇرۇپ:17-چىرايلىق:7.07812172430091
2093-چىرايلىق ئېيتىپتۇ:17-چىرايلىق:8.078121724300908
2103-ئامراق بولۇپ:24-كۈچلۈك:4.729200706428053
2108-تۇركىيە ئىشلىگەن:33-ئىلغار:9.618372576215673
2109-كۆز قاراش:10-ئاكتىپ,14-مۇكەممەل,20-راھەت,33-ئىلغار:16.92635607309111
2110-پىكىرلەرنىڭ ئىلغارلىقى:33-ئىلغار:9.618372576215673
2111-ئىلغارلىقى جاھان:33-ئىلغار:9.618372576215673
2112-دىققىتىنى تارتىپ:21-قالتىس,33-ئىلغار:15.488646815930515
2113-ئۇيغۇر دىگەن:23-ئېسىل,33-ئىلغار:9.711417351550583
2114-قەدىمى مەدەنىيەتلىك:33-ئىلغار:9.618372576215673
2115-مەدەنىيەتلىك مىللەتنى:33-ئىلغار:9.618372576215673
2116-دۇنياغا تونۇتماقتا:33-ئىلغار:9.618372576215673
2119-يېڭى باش:30-ئاسان:3.4358033655211373
2121-كۆركەم چىقىپتۇ:3-گۈزەل:5.943160955191833
2126-ساياھىتىمىزنى باشلىدۇق:3-گۈزەل:6.943160955191833
2127-ناھايتى گۈزەلكەن:3-گۈزەل:6.943160955191833
2132-چىرايلىقكەن ياقتۇردۇم:17-چىرايلىق:8.078121724300908
2158-خېلى تېز:17-چىرايلىق:5.270766802243306
2159-تېز تەرەققى:16-ساغلام:5.1170680045414265
2164-شۈكۈرلەر بولسۇن:30-ئاسان:3.4358033655211373
2167-گەپ قىلدىڭىز:3-گۈزەل,12-ھەقىقى,23-ئېسىل:11.182786831440794
2169-بىرىنجىسى بولۇپ:23-ئېسىل:7.678007276056066
2170-ئېسىل شەرەپ:23-ئېسىل:7.678007276056066
2171-شەرەپ نىسىپ:23-ئېسىل:7.678007276056066
2190-ئېسىل ماقالە:23-ئېسىل:7.678007276056066
2191-ماقالە ئىكەن:23-ئېسىل:6.09304477533491
2205-كېچە بولسىمۇ:23-ئېسىل:6.678007276056066
2206-تۈگىتىۋالدىم خۇشال:23-ئېسىل:7.678007276056066
2207-ئۈنۈمدارلىققا ئالغا:23-ئېسىل:7.678007276056066
2208-ئالغا ئېسىل:23-ئېسىل:7.678007276056066
2209-ئېسىل گۈدۈك:23-ئېسىل:7.678007276056066
2210-گۈدۈك چالغانلارغا:23-ئېسىل:6.678007276056066
2211-رەھمەت تېرىشىمەن:23-ئېسىل:7.678007276056066
2212-دەرت كەلمىسۇن:23-ئېسىل:4.508082274613754
2218-ئىش بولغۇدەك:21-قالتىس:5.870274239714844
2219-ئەينى يىللىرى:21-قالتىس:6.455236740436001
2220-قول سېلىپ:21-قالتىس,30-ئاسان:9.645927608120605
2222-قالتىس كۆڭۈللۈك:21-قالتىس:9.040199241157156
2223-كۆڭۈللۈك ئوينايتۇق:21-قالتىس:9.040199241157156
2224-ھەربىتى راھەت:20-راھەت:9.618372576215673
2226-شاتلىق كەلگىنى:20-راھەت:9.618372576215673
2227-ھىكمەت قىلغۇسى:20-راھەت:9.618372576215673
2228-جۇتنى باھار:20-راھەت:9.20333507693683
2229-باھار بولمىسا:20-راھەت:9.618372576215673
2230-ھىكمەت ئامىتىم:20-راھەت:9.618372576215673
2231-ئامىتىم ئاپەت:20-راھەت:9.355338170381879
2232-نىمىدىگەن پاساھەتلىك:20-راھەت:9.618372576215673
2233-پاساھەتلىك تىللار:20-راھەت:9.618372576215673
2237-كۆپ بولىدىغان:15-بەخىتلىك:8.38010241037522
2258-بايان قىلىش:11-داڭلىق,14-مۇكەممەل,24-كۈچلۈك:10.444926097364839
2259-نامايەن قىلىش:3-گۈزەل,16-ساغلام,17-چىرايلىق:14.308275685476481
2260-ئىقتىدارىنى يېتىلدۈرۈش:3-گۈزەل:5.358198454470676
2261-كەم بولسا:14-مۇكەممەل,16-ساغلام:8.27283750548786
2285-فىلىمنى كۆرۈپ:1-پىشقان,12-ھەقىقى,27-سادىق:12.47507402547748
2289-تۈنۈگۈنكى تەربىيىلەش:2-مۇنەۋۋەر:10.578295136840339
2290-ئۈمىدۋار مۇنەۋۋەر:2-مۇنەۋۋەر:10.578295136840339
2291-مۇنەۋۋەر خادىم:2-مۇنەۋۋەر:10.578295136840339
2292-خادىم بولسۇن:2-مۇنەۋۋەر:10.578295136840339
2293-تەسىرىگە ئۇچراشتىن:2-مۇنەۋۋەر:10.578295136840339
2294-رەڭسىز ھالەتكە:2-مۇنەۋۋەر:10.578295136840339
2295-ھالەتكە چۈشۈپ:2-مۇنەۋۋەر:8.993332636119181
2296-خالىي بۇلالمايدىكەن:2-مۇنەۋۋەر:10.578295136840339
2297-يۇقىرى كەيپىياتلىق:2-مۇنەۋۋەر:10.578295136840339
2298-پائالىيەتلەرنى كۆپرەك:2-مۇنەۋۋەر:10.578295136840339
2299-كۆپرەك ئۇيۇشتۇرۇپ:2-مۇنەۋۋەر:10.578295136840339
2300-كۆپرەك قاتنىشىپ:2-مۇنەۋۋەر:10.578295136840339
2306-ئېلان قىلغان:2-مۇنەۋۋەر,16-ساغلام,29-كۆڭۈلدىكىدەك,30-ئاسان:10.207333435615563
2318-مەنزىرىگە قاراپ:4-ئىتىپاقلىق:13.960764773662753
2319-ھېس قىلىۋاتىمەن:3-گۈزەل,4-ئىتىپاقلىق,17-چىرايلىق,20-راھەت,30-ئاسان:22.916243420696755
2320-قۇياش چىقىدىغانغىمۇ:4-ئىتىپاقلىق:13.960764773662753
2321-ئاز قالغان:4-ئىتىپاقلىق,10-ئاكتىپ,30-ئاسان:17.428368122820814
2323-ئاللا خالىسا:12-ھەقىقى,23-ئېسىل:5.245193653838349
2326-قول قوپۇپ:12-ھەقىقى:5.697327886297295
2328-يۈزنى يۇيۇپتۇ:12-ھەقىقى:5.697327886297295
2331-ھۆرمەتلىك ئاتا:16-ساغلام:7.702030505262583
2332-ئۆزىمىزدىن باشلايلى:16-ساغلام:5.242598886625285
2334-بىلىملىك ساغلام:16-ساغلام:8.702030505262583
2335-ساغلام تەربىيلەپ:16-ساغلام:8.702030505262583
2336-مىللىتىمىزگە ياراملىق:16-ساغلام:8.702030505262583
2337-ياراملىق قىلىپ:16-ساغلام:6.702030505262583
2339-شەخسىي بېتىمنى:3-گۈزەل:6.943160955191833
2340-ئاجايىپ گۈزەل:3-گۈزەل:6.943160955191833
2341-گۈزەل قىلىۋالدىم:3-گۈزەل:6.943160955191833
2353-مەغلۇپ بولغان:12-ھەقىقى,30-ئاسان:4.713093071481222
2358-بېتى يېڭىلىنىپ:17-چىرايلىق,20-راھەت:14.526569299074268
2359-ئەڭ يارىغان:20-راھەت:9.618372576215673
2360-يارىغان يېرى:20-راھەت:9.618372576215673
2361-بەك راھەت:12-ھەقىقى,20-راھەت:14.200223245093031
2362-راھەت يېقىشلىق:20-راھەت:9.618372576215673
2363-تېخىمۇ ئاددىيلىشىپتۇ:20-راھەت:9.618372576215673
2365-تەرەققىي قىلدۇرغىلى:20-راھەت:9.618372576215673
2366-ھالەتكە كەپتۇ:20-راھەت:9.618372576215673
2367-بەكرەك خۇش:20-راھەت:9.618372576215673
2374-بارلىققا كەلتۈرگەن:2-مۇنەۋۋەر,24-كۈچلۈك:11.30749584326839
2377-كۆپ رەھمەت:3-گۈزەل,23-ئېسىل,24-كۈچلۈك:5.365857761757056
2382-ئەڭ بەخىتلىك:15-بەخىتلىك:10.702030505262583
2383-بەخىتلىك ئادەم:15-بەخىتلىك:10.702030505262583
2384-ئىگە بولغان:3-گۈزەل,11-داڭلىق,12-ھەقىقى,14-مۇكەممەل,15-بەخىتلىك,23-ئېسىل,24-كۈچلۈك,30-ئاسان,33-ئىلغار:18.798056045244092
2385-ئادەم ئەمەس:12-ھەقىقى,15-بەخىتلىك:9.660890772228438
2386-ياخشى قىلىش:15-بەخىتلىك:7.38010241037522
2395-بەك تەسىر:23-ئېسىل:2.430079762612481
2396-تەسىر قىلدى:14-مۇكەممەل:4.489670237499873
2398-ئوماق قىزى:17-چىرايلىق:5.493159223579753
2399-خۇدايىم ساق:23-ئېسىل:4.09304477533491
2400-ساق سالامەت:3-گۈزەل,15-بەخىتلىك,30-ئاسان:11.496032325254397
2403-نىسىپ قىلسۇن:12-ھەقىقى,21-قالتىس:6.414097007401856
2406-شۈكرىلەر بولسۇن:3-گۈزەل:5.135806033134229
2409-تەرەققىي قىلىپ:12-ھەقىقى,16-ساغلام:5.269216883044866
2417-قىسقا فىلىم:2-مۇنەۋۋەر,3-گۈزەل,11-داڭلىق,12-ھەقىقى,21-قالتىس,23-ئېسىل:13.076250456648213
2420-فىلىم ئىشلەش:11-داڭلىق:3.563090140714483
2441-ياخشى ئىشلەنگەن:23-ئېسىل:4.356079181168704
2443-ماس كېلىدۇ:2-مۇنەۋۋەر:6.490832295589999
2445-بەك پەچەت:21-قالتىس:5.455236740436
2450-ئىگە بولۇپ:1-پىشقان,3-گۈزەل,12-ھەقىقى,17-چىرايلىق,23-ئېسىل,24-كۈچلۈك:17.481140018268377
2461-تۇشلۇق ئېسىل:17-چىرايلىق,21-قالتىس,23-ئېسىل,24-كۈچلۈك:32.525528947942185
2462-ئېسىل مۇسابىقە:17-چىرايلىق,21-قالتىس,23-ئېسىل,24-كۈچلۈك:32.525528947942185
2463-مۇسابىقە بولدى:12-ھەقىقى,17-چىرايلىق,21-قالتىس,23-ئېسىل,24-كۈچلۈك:34.807819334960634
2492-يۇمشاق دىتال:3-گۈزەل,12-ھەقىقى,17-چىرايلىق,23-ئېسىل,30-ئاسان:5.255550116603639
2499-گۈزەل ھىكايىكەن:3-گۈزەل:6.943160955191833
2511-باھارغا ئاشىقمەن:3-گۈزەل:6.943160955191833
2512-چىرىغى يېقىپ:3-گۈزەل:6.943160955191833
2513-ئالەمنى گۈزەل:3-گۈزەل:6.943160955191833
2514-گۈزەل كۆرسىتەلەيدۇ:3-گۈزەل:6.943160955191833
2515-كۈزنىڭ مول:3-گۈزەل:6.943160955191833
2516-ۋېسالىغا يېتىشكە:3-گۈزەل:6.943160955191833
2517-بايرىمىنى كۈتىۋىلىش:3-گۈزەل:6.943160955191833
2518-نەقەدەر كۆڭۈللۈك:3-گۈزەل:6.943160955191833
2519-ئەپەندىنى ياختۇرىمەن:11-داڭلىق:7.811017654158069
2521-تەبئي خوشال:15-بەخىتلىك,18-خوشال:20.112598196364853
2522-خوشال بولغان:15-بەخىتلىك,18-خوشال:18.112598196364853
2524-قىينچىلق ئىچىدە:15-بەخىتلىك,18-خوشال:20.112598196364853
2525-ئىچىدە بولسىمۇ:15-بەخىتلىك,18-خوشال:20.112598196364853
2526-يەنىلا بەخىتلىك:15-بەخىتلىك,18-خوشال:19.112598196364853
2537-ئىسمىمۇ ياخشى:12-ھەقىقى:7.282290387018451
2539-بەخىت تىلەش:9-بەخىت تىلەش,17-چىرايلىق:20.846241420021265
2540-مەزمۇنى ياخشكەن:9-بەخىت تىلەش:14.768119695720356
2541-نورۇزىڭلارغا مۇبارەك:16-ساغلام:8.702030505262583
2542-يىڭىچە بەخت:16-ساغلام:8.702030505262583
2543-بەخت يىڭىچە:16-ساغلام:8.702030505262583
2544-يىڭىچە نەتىجە:16-ساغلام:8.702030505262583
2546-ساغلاملىق ئاتا:16-ساغلام:8.702030505262583
2547-ئاتا قىلسۇن:12-ھەقىقى,15-بەخىتلىك,16-ساغلام:9.686351397543614
2563-ئېسىل قۇرۇلۇش:23-ئېسىل:7.678007276056066
2564-قۇرۇلۇش ئىكەن:23-ئېسىل:7.678007276056066
2565-بەك سېغىنىپ:2-مۇنەۋۋەر:10.578295136840339
2566-مۇنەۋۋەر ئىقتىدارلىق:2-مۇنەۋۋەر:10.578295136840339
2567-ياخشى ئوقۇتقۇچىلار:2-مۇنەۋۋەر:10.578295136840339
2568-ئوقۇتقۇچىلار ئىدى:2-مۇنەۋۋەر:10.578295136840339
2569-ئەجەپ سېغىندىم:2-مۇنەۋۋەر:7.993332636119181
2576-ياخشى ئىكەن:23-ئېسىل:2.9775675579149747
2580-ئاپتونوم رايونلۇق:2-مۇنەۋۋەر,16-ساغلام,33-ئىلغار:12.40002817582437
2584-چوڭ توپ:11-داڭلىق:7.226055153436912
2587-ئالاھىدە كۆڭۈل:16-ساغلام:5.242598886625285
2588-كۆڭۈل بۆلىدىكەن:16-ساغلام:7.1170680045414265
