6-بەك ئامراق:37-سەت:1.4339861049221954
3696-ئەھمىيەتلىك ئىشلار:6-قالايمىقان,17-قانۇنسىز:12.508139079422907
3746-تەسىر كۆرسىتىدۇ:6-قالايمىقان,15-ھادىسە,16-ھالاك بولۇش,30-ئىسراپچىلىق,37-سەت:26.12166442705602
3754-ئۇلۇغ ئاللا:2-قوپال,5-ئازار,22-قايغۇ,27-ئاجىز,32-ساختا,37-سەت:15.806889777838592
3757-جەننەتتە قىلغاي:22-قايغۇ:7.493159223579754
3800-جارى قىلدۇرالايدۇ:37-سەت:4.957548060979208
3830-يىل بولدى:27-ئاجىز,37-سەت:3.2256798208404467
3833-ئوتتۇرا مەيدان:37-سەت:3.1501931389216042
3847-ۋاھ ۋاھ:37-سەت:2.787623059536896
3853-ئادەم بولسا:37-سەت:1.7096205475356225
3873-ياخشى ئوينىغان:23-غەيرى:9.325176199871626
3950-ئورۇندا تۇرىدىكەن:6-قالايمىقان,37-سەت:9.204067316975836
3979-پۇرسەت چىقىرىپ:37-سەت:5.957548060979208
3990-ئەھمىيەتلىك ئىش:6-قالايمىقان,17-قانۇنسىز:11.67806408086522
3995-مەزمۇنى ياخشى:29-زەربە:8.264293957724604
4001-كۆپ رەخمەت:5-ئازار,37-سەت:9.67309970589541
4007-ئاز ساندىكى:27-ئاجىز,29-زەربە,30-ئىسراپچىلىق,32-ساختا,37-سەت:27.523234533300823
4033-مۇسابىقە كۆرۈشكە:37-سەت:5.957548060979208
4037-دىن ئېشىپ:22-قايغۇ,29-زەربە,37-سەت:5.306959042977622
4058-ئېچىلىپ كەت:28-خاتالىق:4.6595952389421855
4067-كەپ كىتىدۇ:27-ئاجىز:8.120661269265435
4086-كېرەك ئىدى:2-قوپال,28-خاتالىق:8.028370244989812
4103-ئۇيقۇ يوق:7-ئەلەم,29-زەربە,37-سەت:17.326996701701738
4113-بەك قىزىپ:27-ئاجىز:6.120661269265434
4133-چى بولغان:6-قالايمىقان,14-ئاۋارىچىلىق,17-قانۇنسىز,18-زوراۋانلىق,20-مەغلۇپ بولۇش,22-قايغۇ,27-ئاجىز,28-خاتالىق,29-زەربە,32-ساختا,35-شەھۋانى,37-سەت:25.37349936013849
4182-نەشىر قىلىنغان:29-زەربە,37-سەت:4.636879517982656
4194-راس دەيسىز:28-خاتالىق:5.0746327382210294
4229-قىممىتى بار:37-سەت:0.9575480609792082
4275-چوڭ چوڭ:37-سەت:1.2026605588157393
4276-چوڭ ئىشلارنى:23-غەيرى:5.932858777092867
4280-ئىشنى قىلىپ:28-خاتالىق,37-سەت:7.617143299921393
4301-چوقۇم ياخشى:6-قالايمىقان,37-سەت:7.034142315533524
4346-ياخشى تەرەپلىرى:37-سەت:3.372585560258052
4351-ئالدىغا ئۆتۈپ:5-ئازار,27-ئاجىز:13.391428071508738
4398-ھاجىتى يوق:6-قالايمىقان,30-ئىسراپچىلىق,37-سەت:8.493799308522627
4423-ئالىي مەكتەپتە:33-تېتىقسىز,37-سەت:7.210892071314259
4476-خېلى بار:28-خاتالىق:2.6152011195837326
4477-بار ئوخشايدۇ:28-خاتالىق,37-سەت:4.901181309666251
4510-جەھەتتە كۆپ:27-ئاجىز:8.120661269265435
4515-نۇرغۇن ۋاقىت:5-ئازار:7.715551644916201
4566-تازا كۈلۈپتىمەن:37-سەت:3.9575480609792084
4577-قارا تەنلىكلەر:37-سەت:3.257108342838116
4662-ئاتا قىلغان:22-قايغۇ,28-خاتالىق,37-سەت:7.0614507889720075
4663-جەننەتتە بولغاي:22-قايغۇ:6.715551644916201
4681-ياخشى بۇپتۇ:37-سەت:2.957548060979208
4710-پۇرسەتنى چىڭ:37-سەت:5.957548060979208
4711-چىڭ تۇتۇشى:37-سەت:5.957548060979208
4713-بارەك بولسۇن:23-غەيرى,32-ساختا,37-سەت:1.7400714365189636
4717-كۈچلۈك بولىشى:27-ئاجىز:8.120661269265435
4724-ياخشى تەھلىل:28-خاتالىق:7.659595238942186
4735-ئېغىر ئەمەس:37-سەت:3.9575480609792084
4748-ئاتا قىلىدۇ:37-سەت:2.1501931389216042
4786-مۇمكىن ئەمەس:27-ئاجىز,28-خاتالىق,37-سەت:5.115517557940482
4823-غەيرەت قىلىڭ:23-غەيرى:6.0772486864280415
4832-ئىستىمال قىلىش:15-ھادىسە:8.52019218227677
4833-دىققەت قىلىدىغان:27-ئاجىز:3.7987331743780723
4834-نۇرغۇن ئىشلارنى:37-سەت:1.4981164423419109
4873-خام خىيال:1-بىنورمال:6.662211187149198
4878-ئەجەپ سەت:37-سەت:5.957548060979208
4879-سەت تۇرىدىكەن:37-سەت:5.957548060979208
4880-ئادىل ھوشۇر:37-سەت:2.1501931389216042
4893-خاتىرجەم بولسا:28-خاتالىق:6.0746327382210294
4904-مول ھوسۇللۇق:22-قايغۇ:7.300514145637358
4948-ناھايىتى كۆپ:22-قايغۇ:3.776952189580345
4979-ئارتۇق گەپ:5-ئازار,18-زوراۋانلىق,37-سەت:16.26129303805672
5004-بار تىخى:37-سەت:4.957548060979208
5037-ئەسلىگە كېلىپ:28-خاتالىق:6.2445577396633425
5098-مەزمۇنلار ئىكەن:37-سەت:5.957548060979208
5113-ئورۇندا تۇرۇپ:37-سەت:3.1501931389216042
5120-بەك چوڭ:28-خاتالىق:2.7527046433336677
5194-بار ئۇچۇر:27-ئاجىز:7.120661269265434
5214-بەك قالايمىقان:6-قالايمىقان:8.861229100111837
5239-راست گەپنى:6-قالايمىقان:4.861229100111837
5241-بەك سەت:37-سەت:5.957548060979208
5242-سەت كۆرىنىدۇ:37-سەت:5.957548060979208
5306-ئىش قىلساق:27-ئاجىز,28-خاتالىق,37-سەت:13.73780456918683
5314-ناھايىتى مۇھىم:28-خاتالىق,37-سەت:3.1982365686634946
5323-نادىر تېما:27-ئاجىز:7.120661269265434
5326-يامان دەپ:37-سەت:2.4981164423419107
5361-سەت كۈلۈپتىمەن:37-سەت:5.957548060979208
5364-غەيرىتىگە ئاپىرىن:23-غەيرى:10.325176199871628
5378-ئالدىنى ئالغىلى:6-قالايمىقان:4.691304098669525
5379-ھەرگىزمۇ يامان:37-سەت:4.372585560258052
5380-ئىش ئەمەس:5-ئازار,8-ئاداۋەت,36-يامان نىيەت:17.554086722935224
5386-تىرىشچانلىقىڭىزغا رەھمەت:37-سەت:5.957548060979208
5410-ئەڭ ئاز:28-خاتالىق,30-ئىسراپچىلىق:10.496146365338367
5429-ھېس قىلىپ:27-ئاجىز,28-خاتالىق,36-يامان نىيەت:12.183286932238165
5491-يوق دەپ:22-قايغۇ,28-خاتالىق,37-سەت:9.061450788972007
5508-يېزىقىمىزنى قوغداش:28-خاتالىق:7.659595238942186
5540-بەك ئۇزاق:27-ئاجىز:7.2726643627104846
5577-ئادەم دىگەن:6-قالايمىقان:5.053874178054233
5579-تېخىمۇ ئۇزۇن:37-سەت:3.6356199660918462
5580-ئۇزۇن ئۆمۈر:37-سەت:1.1501931389216042
5600-كىچىك بولغان:6-قالايمىقان,27-ئاجىز,37-سەت:13.429663426029544
5621-بەك جىق:22-قايغۇ,28-خاتالىق,37-سەت:7.080555180107095
5692-مەيدان يوق:37-سەت:5.957548060979208
5724-ياخشىلىق قىل:27-ئاجىز:2.6288081729357597
5752-ئوتتۇرا بارمىقىنى:37-سەت:5.957548060979208
5819-ياخشى كۆرەتتىم:37-سەت:2.635619966091846
5831-قادىر ئەمەس:22-قايغۇ:5.493159223579753
5849-ئىنكاس يېزىپ:1-بىنورمال,28-خاتالىق,37-سەت:12.77239449835071
5893-سەت تۇرا:37-سەت:5.957548060979208
5905-نۇرغۇن نەرسىلەرنى:6-قالايمىقان:4.954338504503318
5918-تېخىمۇ زور:14-ئاۋارىچىلىق,27-ئاجىز,29-زەربە:18.923655234479977
5959-ماتىرىيال ئىكەن:37-سەت:5.957548060979208
5993-بەك كۆپكەن:6-قالايمىقان,28-خاتالىق:9.119944902771838
5999-دىققەت قىلىش:6-قالايمىقان,32-ساختا,37-سەت:8.223007313821242
6203-ھىس قىلىۋاتىمەن:28-خاتالىق:3.852240316884582
6209-ياخشى تىلەكلەر:37-سەت:3.372585560258052
6266-يىلى تۇغۇلغان:28-خاتالىق:4.07463273822103
6273-كۈچلۈك بولسا:27-ئاجىز:7.383695675099228
6275-ئاجىز ئەمەس:27-ئاجىز:8.120661269265435
6306-ياخشى ئوي:23-غەيرى,28-خاتالىق,37-سەت:10.371633631621982
6314-ئىش ئىكەن:32-ساختا,37-سەت:6.761326888907146
6416-پۇرسەت يارىتىپ:37-سەت:5.957548060979208
6434-بەك قىززىقىمەن:27-ئاجىز,37-سەت:14.078209330244643
6444-ياخشى ئىشنىڭ:2-قوپال:8.831481756717785
6487-ئاھاڭغا سېلىپ:22-قايغۇ:9.300514145637358
6576-كۆپ پۇل:37-سەت:2.372585560258052
6607-پۇرسەت بار:37-سەت:5.957548060979208
6679-ئادىتىم بار:27-ئاجىز:8.120661269265435
6682-ياخشى ئوينا:37-سەت:3.6356199660918462
6690-گەپ كەتمەيدۇ:37-سەت:2.1501931389216042
6707-سەۋەبچى بولغان:20-مەغلۇپ بولۇش:12.013232193556888
6720-ئاق كۆڭۈل:23-غەيرى,37-سەت:8.88184482456865
6816-يەنىمۇ زور:37-سەت:3.9575480609792084
6842-ياخشى سىياسەت:37-سەت:5.957548060979208
6954-تىخىمۇ كۆپ:37-سەت:2.1501931389216042
6983-رەسمىي يوسۇندا:17-قانۇنسىز:9.986759982195696
7026-كىچىك ۋاقتىمدا:14-ئاۋارىچىلىق,37-سەت:7.519569142703766
7029-ئېنىق ئەمەس:28-خاتالىق,37-سەت:4.698280062646799
7055-تەن ساقلىق:29-زەربە:6.679331457003448
7057-دىققەت قىلايلى:6-قالايمىقان:4.053874178054232
7107-ھەل قىلىش:6-قالايمىقان,19-خاتىرجەمسىز,27-ئاجىز,28-خاتالىق,30-ئىسراپچىلىق,37-سەت,38-قىلتاق:26.944469421894457
7112-ياخشى بولغۇدەك:13-لۈكچەك:9.861229100111837
7162-ئاتا قىلغاي:28-خاتالىق,32-ساختا:7.544510829595529
7178-ئىنتايىن مۇھىم:27-ئاجىز,37-سەت:4.264428139027606
7182-ياخشى شېئىر:28-خاتالىق,37-سەت:11.617143299921395
7213-ھەيران قالارلىق:15-ھادىسە,28-خاتالىق:9.892075041669505
7234-ياخشى تەرەپ:27-ئاجىز,37-سەت:6.67732989396246
7266-ئاق رەڭنى:28-خاتالىق,37-سەت:10.939071394808757
7271-سەپتىن چۈشۈپ:27-ئاجىز,37-سەت:8.908284328802331
7307-بەك چە:33-تېتىقسىز:9.013232193556886
7315-تازا ياخشى:6-قالايمىقان,28-خاتالىق:6.262258305164089
7375-ياخشى ئادەملەر:13-لۈكچەك:10.053874178054233
7378-ئاپتۇنۇم رايۇنلۇق:17-قانۇنسىز:7.4017974814745395
7401-خەت يېزىپ:2-قوپال:7.199213541218271
7405-يېرى يوق:15-ھادىسە,22-قايغۇ:12.820706327914127
7472-مەيدانغا كەلگەن:22-قايغۇ:4.600074427496265
7490-شېئىر ئىكەن:28-خاتالىق:5.659595238942186
7532-ئىنكاس يازىدىغان:6-قالايمىقان,37-سەت:8.818777161091043
7569-چوڭ بولغان:18-زوراۋانلىق,37-سەت:3.2097138801169782
7578-ئوخشاش بول:17-قانۇنسىز,28-خاتالىق,37-سەت:4.088596778225895
7600-دىققەت قىلىپ:27-ئاجىز,28-خاتالىق,37-سەت:5.315739803014017
7653-كىچىك ۋاقتى:14-ئاۋارىچىلىق,37-سەت:4.8757129529290415
7671-غەلبە قىلىش:20-مەغلۇپ بولۇش,37-سەت:13.555742755257251
7695-مەنىۋى ئوزۇق:32-ساختا:8.97370382937025
7746-چېغى دەپ:6-قالايمىقان:5.401797481474539
7792-ئىش بولۇپ:1-بىنورمال,22-قايغۇ,28-خاتالىق,37-سەت:15.148096140382286
7799-بەك قىززىق:27-ئاجىز,37-سەت:3.659302598986743
7830-ئەڭ جانلىق:27-ئاجىز:8.120661269265435
7832-جەلىپ قىلىش:6-قالايمىقان,37-سەت:8.063889658927577
7931-ئەڭ كۈچلۈك:37-سەت:0.5652306382004477
7943-ئەڭ چوڭ:6-قالايمىقان,17-قانۇنسىز,18-زوراۋانلىق,22-قايغۇ,27-ئاجىز,28-خاتالىق,30-ئىسراپچىلىق,32-ساختا,37-سەت,38-قىلتاق:22.922060941230093
7991-چېكى يوق:37-سەت:3.9575480609792084
7999-ئاز ئەمەس:7-ئەلەم,28-خاتالىق,37-سەت:9.036016327774888
8029-بەك ھەيران:23-غەيرى:6.237713358621287
8058-ئۇچۇن ئۇن:22-قايغۇ:9.300514145637358
8141-يۈرەكسىز دادىل:27-ئاجىز:8.120661269265435
8142-دادىل ئەمەس:27-ئاجىز:8.120661269265435
8143-ئىگىلىك تىكلەش:37-سەت:2.9219241512484864
8159-ئەزاسى بولۇش:37-سەت:3.9575480609792084
8162-قوش تىللىق:37-سەت:1.4656949646495334
8198-ئەينى ۋاقىتتا:27-ئاجىز,37-سەت:2.126742468311847
8280-ھەرگىز بولمايدۇ:2-قوپال:7.831481756717785
8297-پۇرسەت بولسا:37-سەت:5.957548060979208
8342-ياخشى بولغىنى:7-ئەلەم:8.198264087389408
8365-پاناھ تىلەيمەن:2-قوپال,22-قايغۇ,37-سەت:14.149083534470696
8366-ئاللاھ ئاسانلىق:2-قوپال:6.452970133464055
8399-تىلىدا يازغان:37-سەت:4.372585560258052
8422-يوق ئەمەس:37-سەت:2.7096205475356223
8436-ئوبدان پۇرسەت:37-سەت:5.957548060979208
8437-پۇرسەت بولدى:37-سەت:5.957548060979208
8459-نەق مەيداندا:6-قالايمىقان:5.337667144054824
8460-مەيداندا تۇرۇپ:1-بىنورمال:8.910138700592784
8474-مىكرو ھىكايە:37-سەت:5.957548060979208
8482-تىگىشلىك ئىش:28-خاتالىق,30-ئىسراپچىلىق,35-شەھۋانى,37-سەت:21.911747623142436
8486-ئەڭ قايىل:37-سەت:3.372585560258052
8506-خاپا بولماي:37-سەت:1.372585560258052
8510-ھەيران قاپتىمەن:37-سەت:2.957548060979208
8525-گۈزەل ئەخلاق:5-ئازار,22-قايغۇ,27-ئاجىز,37-سەت:17.16995229801246
8613-قېرىپ قالدى:23-غەيرى:10.325176199871628
8638-ئۇيغۇرلارنىڭ مىللى:27-ئاجىز:5.120661269265435
8670-ئىش قىلسا:27-ئاجىز,28-خاتالىق,37-سەت:9.774547212553781
8714-چوڭ بولىدۇ:37-سەت:1.7096205475356225
8744-خەۋەردار بولۇپ:37-سەت:2.957548060979208
8800-قىرغىن قىلىش:7-ئەلەم:7.198264087389407
8813-ئېلان قىلىنغان:27-ئاجىز,28-خاتالىق,37-سەت:2.425414215921724
8819-ھەقىقى مۇھەببەت:27-ئاجىز,37-سەت:8.463499486129434
8861-چەت ئەل:6-قالايمىقان,22-قايغۇ,23-غەيرى,27-ئاجىز,37-سەت:8.005997824107215
8877-قىممىتىنى ھەقىقىي:37-سەت:5.957548060979208
8902-نۇرغۇن كىشىلەرنى:37-سەت:2.870085219728869
8922-پۇرسەت بىرىشى:37-سەت:5.957548060979208
8948-ئىش بۇپتۇ:6-قالايمىقان:8.861229100111837
8949-ئىش بولا:37-سەت:2.0995670658516365
8958-ئەڭ مۇھىم:6-قالايمىقان,14-ئاۋارىچىلىق,27-ئاجىز,29-زەربە,30-ئىسراپچىلىق,37-سەت:15.090827382214568
8960-پايدىسى يوق:33-تېتىقسىز:6.350267180834457
9004-دوسلارنىڭ قوللاپ:37-سەت:4.957548060979208
9061-ئىتىراپ قىلىپ:37-سەت:4.372585560258052
9106-ھىجايغان چىراي:37-سەت:3.6356199660918462
9164-قارا رەڭلىك:37-سەت:4.9575480609792075
9190-نەق مەيداندىن:27-ئاجىز:3.4768050794907097
9221-بىلىمى بارلار:37-سەت:4.372585560258052
9231-بىلەت تاشلاڭ:37-سەت:2.0506574653706897
9358-ئەڭ يىڭى:37-سەت:2.3330571960714144
9388-ئۆچ ئېلىشى:29-زەربە:8.84925645844576
9399-قارار قىل:17-قانۇنسىز,28-خاتالىق,37-سەت:5.540936634752722
9406-ۋاقىتلار ئىدى:29-زەربە:8.84925645844576
9423-چۇڭقۇر مەنىگە:22-قايغۇ:9.300514145637358
9435-كەن بۇلا:27-ئاجىز,37-سەت:5.582354303357472
9479-نورمال بولغىنى:28-خاتالىق:5.337667144054824
9495-غا مۇبارەك:23-غەيرى,37-سەت:1.1290930667491725
9498-نادىر فىلىم:6-قالايمىقان,17-قانۇنسىز,37-سەت:10.873968573962568
9521-تۇغرا دەيسىز:23-غەيرى:8.74021369915047
9563-ھاسىل قىلىپ:37-سەت:2.2571083428381162
9603-ساختا مال:32-ساختا:9.97370382937025
9659-جارى قىلدۇرۇپ:37-سەت:2.4981164423419107
9681-زىيارەت قىلغان:27-ئاجىز,37-سەت:6.493246829523486
9686-كۆك ئاسمان:37-سەت:3.372585560258052
9689-ياخشى چىقاتتى:28-خاتالىق:7.659595238942186
9699-ئىش قىلدى:28-خاتالىق:4.489670237499873
9717-داڭلىق شەخىس:37-سەت:2.787623059536896
9720-ئەمەلىي ھەرىكىتى:27-ئاجىز:6.120661269265434
9783-ئەڭ ئاقىلانىلىك:27-ئاجىز:6.535698768544279
9788-بىرتەرەپ قىلىشى:37-سەت:5.957548060979208
9844-كۆڭلۈڭنى يېرىم:9-كۆڭلى يېرىم:11.446191600832993
9854-ئامال با:14-ئاۋارىچىلىق,27-ئاجىز,32-ساختا,37-سەت:14.578580106164967
9864-كۆپ بولغان:17-قانۇنسىز:4.560495227493598
9865-كىتاپ قىلىپ:28-خاتالىق:5.659595238942186
9886-ياخشى دەپ:27-ئاجىز,29-زەربە,37-سەت:10.064876857529779
9895-تەتقىق قىلىپ:6-قالايمىقان,37-سەت:3.5893574728606272
9902-كۆپ قىسىم:6-قالايمىقان,22-قايغۇ,23-غەيرى,27-ئاجىز,28-خاتالىق,37-سەت:13.482153405462983
9930-مەيدانغا كىرىش:18-زوراۋانلىق:9.09569435374886
9946-تەرەققىي قىلىشىغا:6-قالايمىقان:5.691304098669524
9954-تورىغا كىرىپ:37-سەت:3.8420708435592723
9956-تىخى ياش:27-ئاجىز:6.535698768544279
9977-ئىشلىرىنى ئاسان:27-ئاجىز:4.950736267823123
10070-شەھەرگە كەل:37-سەت:4.957548060979208
10078-مۇمكىنچىلىكى بار:28-خاتالىق:5.659595238942186
10100-تېخنىكا دىگەن:37-سەت:3.6356199660918462
10127-خاتالىقى ئەمەس:28-خاتالىق:7.659595238942186
10153-ئۇتۇق قازانغان:37-سەت:2.787623059536896
10206-ياخشى ئويناۋاتىدۇ:37-سەت:5.957548060979208
10234-تەس ئىش:8-ئاداۋەت:8.053874178054233
10276-بار يەر:5-ئازار,6-قالايمىقان,28-خاتالىق,29-زەربە,37-سەت:22.288293001231725
10281-ھەي ئىسىت:37-سەت:4.957548060979208
10317-بىرلەشمە لوڭقىسىنى:28-خاتالىق:6.0746327382210294
10333-ئىنتايىن تەپسىلى:27-ئاجىز:7.120661269265434
10339-قولىدىن كېلىدىغان:22-قايغۇ:7.715551644916201
10345-رىقابەتچىسى يوق:27-ئاجىز:8.120661269265435
10367-پەيدا قىلىپ:6-قالايمىقان,27-ئاجىز:10.367180525262063
10368-ئەينى چاغدا:18-زوراۋانلىق,29-زەربە,37-سەت:11.823694818862073
10394-كۆپ بولسا:28-خاتالىق:2.959155520801094
10438-ۋاقتى كەلگەندە:27-ئاجىز,37-سەت:3.81964329635471
10448-بەك ئاز:5-ئازار,28-خاتالىق:6.879291856971216
10465-گەپ بار:14-ئاۋارىچىلىق,28-خاتالىق,33-تېتىقسىز,37-سەت:16.645530570414824
10493-تورغا چىقىپ:37-سەت:1.8700852197288689
10501-چوڭ ئىشلارغا:37-سەت:5.957548060979208
10510-توپ ئۇردى:37-سەت:1.787623059536896
10517-يېڭى كىيىم:27-ئاجىز,37-سەت:8.078209330244643
10518-كىيىم كىيىش:37-سەت:3.9575480609792084
10534-ئىلىم ساھىبى:37-سەت:5.957548060979208
10539-ئەڭ كۆپ:27-ئاجىز,28-خاتالىق,30-ئىسراپچىلىق,37-سەت:7.908449117832144
10548-باشتىن تارتىپ:37-سەت:4.957548060979208
10557-سالامەت قىلغاي:37-سەت:2.635619966091846
10566-ئۇلىنىش قىلىپ:28-خاتالىق:5.337667144054824
10578-خاسىيەتلىك ئىش:27-ئاجىز:6.798733174378072
10624-گەپ قىلماس:6-قالايمىقان:7.27626659939068
10678-ئاساسى بار:29-زەربە,37-سەت:7.993023328207932
10692-تەسىر قىلغان:18-زوراۋانلىق,28-خاتالىق:7.921345362154303
10695-شارائىت يارىتىپ:37-سەت:2.635619966091846
10696-ئۆكۈنمەيدىغان ئىش:37-سەت:5.957548060979208
10697-ئىش قىلىش:6-قالايمىقان,17-قانۇنسىز,27-ئاجىز,37-سەت:8.661841650721087
10700-ئەڭ گۈللەنگەن:6-قالايمىقان:7.27626659939068
10737-پۇرسەتنى كەتكۈزۈپ:37-سەت:5.957548060979208
10739-رەسىمىنى يوللاشقا:27-ئاجىز:8.120661269265435
10748-دىققەت قىلسا:27-ئاجىز:3.420221551124343
10781-داۋاملىق دىققەت:27-ئاجىز:8.120661269265435
10825-زور بەخىت:22-قايغۇ:8.300514145637358
10833-ئاساسىي جەھەتتىن:32-ساختا:4.929309710011796
10895-ئۇزۇن بولدى:28-خاتالىق:2.167742142612511
10922-خاتا ئەمەس:28-خاتالىق:5.54411802152225
10945-ئۈستىگە ئالغان:27-ئاجىز:4.661229650628138
10964-تەكلىپ قىلسا:17-قانۇنسىز,37-سەت:10.774383041732591
11085-سۆز چۈشۈپ:30-ئىسراپچىلىق:12.124263505945631
11128-دۇنياغا ئاز:5-ئازار:10.885476646358514
11153-ئۈستىدىن غالىپ:18-زوراۋانلىق,36-يامان نىيەت:21.36131370894003
11154-غالىپ كىلىپ:35-شەھۋانى:12.52019218227677
11158-قولغا كەلتۈرۈش:27-ئاجىز,28-خاتالىق,37-سەت:6.560852300850548
11164-نەرسە بار:37-سەت:1.6356199660918458
11184-جىق بولۇپ:37-سەت:3.9575480609792084
11196-تەييارلا تۇرغان:37-سەت:5.957548060979208
11208-ئەل سۆيگەن:37-سەت:2.957548060979208
11217-ساپ ھاۋالىق:22-قايغۇ,37-سەت:15.258062206616566
11236-تۈسىنى ئالغان:17-قانۇنسىز,18-زوراۋانلىق:13.052706992550505
11245-پەرەز قىلىپ:37-سەت:4.257108342838116
11258-ئامال بار:14-ئاۋارىچىلىق,27-ئاجىز,32-ساختا,37-سەت:14.662826568276284
11288-ھەل قىلىشقا:30-ئىسراپچىلىق,37-سەت:9.437955377150114
11337-باشقىلارغا ياردەم:22-قايغۇ,37-سەت:7.258062206616565
11368-ئاياللار گۈزەل:37-سەت:5.957548060979208
11393-قالايمىقان بولۇپ:6-قالايمىقان:8.861229100111837
11405-بەك تۆۋەن:18-زوراۋانلىق,37-سەت:11.2983549125646
11416-كۆپرەك پىكىر:28-خاتالىق:7.244557739663342
11452-يېرىم سائەت:2-قوپال:6.199213541218271
11475-ھەقىقىي مۇھەببەت:27-ئاجىز:5.535698768544279
11503-نۇرلۇق چىراق:37-سەت:3.9575480609792084
11509-توپ ئۇرۇش:37-سەت:3.1501931389216042
11521-جەننەتتە بولسۇن:7-ئەلەم:5.712837260219166
11528-ئالتۇن دەۋرى:27-ئاجىز:7.120661269265434
11553-ياخشى ئەمەسمۇ:37-سەت:1.787623059536896
11587-سەل تەس:1-بىنورمال:7.7402136991504715
11621-ئەمدى بۇرۇنقى:27-ئاجىز:8.120661269265435
11629-سەل ئاجىز:27-ئاجىز:8.120661269265435
11643-ئاتا قىلىش:22-قايغۇ:6.213051304387019
11674-ئىنكاس يازغان:36-يامان نىيەت:9.221225235832717
11685-شۇم خەۋەر:22-قايغۇ:5.715551644916201
11690-ئىش يوق:18-زوراۋانلىق,28-خاتالىق,32-ساختا:11.70065085213029
11741-ياخشى كىتاب:17-قانۇنسىز:6.986759982195696
11750-ئادەم ئىدى:2-قوپال:7.568447350883991
11755-يىلى ئ:6-قالايمىقان,7-ئەلەم,22-قايغۇ,27-ئاجىز,28-خاتالىق,37-سەت:4.466868082211255
11756-ن چوڭ:6-قالايمىقان,37-سەت:1.0538882968108432
11777-تەسىر قىلمايدىغان:27-ئاجىز:7.120661269265434
11792-تەتقىق قىلىش:28-خاتالىق,37-سەت:4.429296390481819
11803-زاھىر بولغۇسى:37-سەت:5.957548060979208
11806-ساھەسىدە مىللى:28-خاتالىق:7.659595238942186
11875-ئاز بولسىمۇ:37-سەت:1.8700852197288689
11937-ياخشى ئەمەس:2-قوپال,5-ئازار,27-ئاجىز,33-تېتىقسىز,37-سەت:14.568507422088297
11941-بەرداشلىق بىرەلمەيدۇ:27-ئاجىز:7.120661269265434
11968-ئامال قىلىپ:28-خاتالىق,37-سەت:5.27729329703677
11979-ئاددىي ئەمەس:37-سەت:5.957548060979208
12020-ئەمەلىي كۈچى:28-خاتالىق:5.659595238942186
12053-كىنو ئىكەن:6-قالايمىقان:7.861229100111837
12090-ئېلان قىلىنىپ:37-سەت:0.2851227190077127
12091-مۇنازىرە قوزغىغان:18-زوراۋانلىق:9.09569435374886
12094-ئەزا بۇلۇپ:37-سەت:2.957548060979208
12097-يىڭى ئەزا:37-سەت:1.9575480609792084
12153-ئوبدان بىلىمەن:5-ئازار:8.300514145637358
12219-ياخشى خەۋەرلەر:37-سەت:4.150193138921605
12282-تىرىشقانلارغا مەنسۇپ:37-سەت:5.957548060979208
12352-ئەڭ قىممەت:37-سەت:1.0506574653706897
12357-كارىم يوق:37-سەت:3.372585560258052
12377-ۋاقىت بار:1-بىنورمال,6-قالايمىقان,37-سەت:18.76313157702174
12404-ھازىرقى باھاسى:37-سەت:4.372585560258052
12436-تېتىقسىز لاۋزا:33-تېتىقسىز:11.598194694278043
12451-ئىجادىي ئەمگەك:37-سەت:4.957548060979208
12508-دۇنيانى كۆرۈپ:27-ئاجىز:7.535698768544279
12527-دىققەت قىلمىسا:32-ساختا:6.651775734482887
12544-بۇرۇندىن تارتىپ:37-سەت:5.109551154424258
12564-قا ئامراق:18-زوراۋانلىق,20-مەغلۇپ بولۇش,28-خاتالىق:17.07585785652962
12583-سەۋەبى بولسا:27-ئاجىز:5.31330634720783
12585-رازى بولىدۇ:6-قالايمىقان,18-زوراۋانلىق:13.541885954581852
12684-شى بولاتتى:5-ئازار,27-ئاجىز,28-خاتالىق:6.23853286166694
12711-مۇكەممەل ئەمەس:28-خاتالىق:4.200163620304889
12750-تولىمۇ ئېچىنىشلىق:28-خاتالىق:6.659595238942186
12765-ياخشى بولسا:37-سەت:1.4339861049221954
12792-ئايان بولدى:28-خاتالىق:5.659595238942186
12804-ئوچۇق ئاشكارا:37-سەت:2.957548060979208
12806-تىجارەت قىلىدىغان:32-ساختا,37-سەت:11.931251890349458
12807-تەدبىر قوللىنىپ:27-ئاجىز:4.420221551124343
12836-يامان بولۇپ:28-خاتالىق:6.659595238942186
12873-ناملىق رومان:27-ئاجىز:3.2626802741378627
12876-سەبىر تىلەيمەن:7-ئەلەم:8.198264087389408
12880-كىيىم كىيىشنى:37-سەت:4.957548060979208
12937-خەۋەر بولسا:28-خاتالىق:6.659595238942186
12951-ۋاتىدۇ دىسە:37-سەت:1.787623059536896
12983-بار گەپ:23-غەيرى:6.003248104984265
12994-يامان ئىكەن:37-سەت:4.957548060979208
13003-دىققەت قىلىمەن:28-خاتالىق:6.659595238942186
13004-ئىملا خاتا:23-غەيرى,27-ئاجىز,28-خاتالىق,29-زەربە,37-سەت:18.041343889019828
13005-خاتا بولۇپ:28-خاتالىق,37-سەت:5.832508454363873
13067-ئۇچۇق قىلسۇن:35-شەھۋانى:11.52019218227677
